sentences,split,not_high_yielding,high_yielding
"2-methoxy-4,6-bis(trifluoromethyl)benzoic acid and phenyl-(3-pyrrolidin-1-yloxetan-3-yl)methanamine react together in the presence of n-ethyl-n-propan-2-ylpropan-2-amine, [dimethylamino(triazolo[4,5-b]pyridin-3-yloxy)methylidene]-dimethylazanium, n,n-dimethylformamide, hexafluorophosphate to produce 2-methoxy-n-[phenyl-(3-pyrrolidin-1-yloxetan-3-yl)methyl]-4,6-bis(trifluoromethyl)benzamide.",train,1,0
"1-[3-hydroxy-9-(4-hydroxyphenyl)-4b,5,6,7,8,8a,9,10-octahydrophenanthren-2-yl]ethanone reacts in the presence of ethanol, ethyl acetate, oxidane, hydrogen carbonate, boranuide, sodium(1+) to produce 2-(1-hydroxyethyl)-9-(4-hydroxyphenyl)-4b,5,6,7,8,8a,9,10-octahydrophenanthren-3-ol.",train,0,1
"5-phenylmethoxy-n-[(1-phenylpyrazol-4-yl)methyl]-n-(4-propan-2-ylphenyl)-1,2,3,4-tetrahydronaphthalene-1-carboxamide reacts in the presence of methane, methanol, formate, azanium, palladium to produce 5-hydroxy-n-[(1-phenylpyrazol-4-yl)methyl]-n-(4-propan-2-ylphenyl)-1,2,3,4-tetrahydronaphthalene-1-carboxamide.",train,0,1
Phosphoryl trichloride and 5-chloro-1-(2-hydroxyethyl)pyrimidin-2-one react together to produce 5-chloro-1-(2-chloroethyl)pyrimidin-2-one.,train,1,0
"Tert-butyl 4-aminopiperidine-1-carboxylate and 3-bromobenzonitrile react together in the presence of 1,4-dioxane, acetate, carbonate, cesium(1+), palladium(2+), [1-(2-diphenylphosphanylnaphthalen-1-yl)naphthalen-2-yl]-diphenylphosphane to produce tert-butyl 4-(3-cyanoanilino)piperidine-1-carboxylate.",train,0,1
"Tert-butyl (2-methylpropan-2-yl)oxycarbonyl carbonate and methyl n-(4-methylpyridin-3-yl)carbamate react together in the presence of n-ethyl-n-propan-2-ylpropan-2-amine, ethanol, dichloromethane to produce tert-butyl (3s,4s)-3-(methoxycarbonylamino)-4-methylpiperidine-1-carboxylate.",train,1,0
"N-[4-[(3r)-3-(dimethylamino)pyrrolidin-1-yl]-2-methoxy-5-nitrophenyl]-4-(4,5,6,7-tetrahydropyrazolo[1,5-a]pyridin-3-yl)pyrimidin-2-amine reacts in the presence of ethanol, oxidane, chloride, iron, azanium to produce 4-[(3r)-3-(dimethylamino)pyrrolidin-1-yl]-6-methoxy-1-n-[4-(4,5,6,7-tetrahydropyrazolo[1,5-a]pyridin-3-yl)pyrimidin-2-yl]benzene-1,3-diamine.",train,0,1
"Acetyl acetate and ethyl 6-(5-aminopyridin-2-yl)oxy-1h-indole-2-carboxylate react together in the presence of oxidane, pyridine to produce ethyl 6-(5-acetamidopyridin-2-yl)oxy-1h-indole-2-carboxylate.",train,1,0
"(4-nitrophenyl)methyl (2s,4s)-2-[3-(dimethylamino)azetidine-1-carbonyl]-4-sulfanylpyrrolidine-1-carboxylate and (4-nitrophenyl)methyl (4r,5r,6s)-3-diphenylphosphoryloxy-6-[(1r)-1-hydroxyethyl]-4-methyl-7-oxo-1-azabicyclo[3.2.0]hept-2-ene-2-carboxylate react together in the presence of acetonitrile, n-ethyl-n-propan-2-ylpropan-2-amine to produce (4-nitrophenyl)methyl (4r,5s,6s)-3-[(3s,5s)-5-[3-(dimethylamino)azetidine-1-carbonyl]-1-[(4-nitrophenyl)methoxycarbonyl]pyrrolidin-3-yl]sulfanyl-6-[(1r)-1-hydroxyethyl]-4-methyl-7-oxo-1-azabicyclo[3.2.0]hept-2-ene-2-carboxylate.",train,1,0
"Tert-butyl n-[(3r)-1-[5-[(2-chloro-5-fluorophenyl)methyl]-2,7-dicyano-3-methyl-4-oxopyrrolo[3,2-d]pyrimidin-6-yl]piperidin-3-yl]carbamate and carbonate react together in the presence of methylsulfinylmethane, oxidane, sulfite, hydrogen peroxide, potassium(1+), sodium(1+) to produce tert-butyl n-[(3r)-1-[2-carbamoyl-5-[(2-chloro-5-fluorophenyl)methyl]-7-cyano-3-methyl-4-oxopyrrolo[3,2-d]pyrimidin-6-yl]piperidin-3-yl]carbamate.",train,1,0
"Tert-butyl 3-[5-[7-(4,4,5,5-tetramethyl-1,3,2-dioxaborolan-2-yl)-9,10-dihydrophenanthren-2-yl]-1h-imidazol-2-yl]-2-azabicyclo[2.2.1]heptane-2-carboxylate and methyl n-[(2s)-1-[(2s)-2-(5-bromo-1h-imidazol-2-yl)pyrrolidin-1-yl]-3-methyl-1-oxobutan-2-yl]carbamate react together in the presence of 1,2-dimethoxyethane, hydrogen carbonate, sodium(1+), palladium;triphenylphosphanium to produce tert-butyl (1r,3s,4s)-3-[5-[7-[2-[(2s)-1-[(2s)-2-(methoxycarbonylamino)-3-methylbutanoyl]pyrrolidin-2-yl]-1h-imidazol-5-yl]-9,10-dihydrophenanthren-2-yl]-1h-imidazol-2-yl]-2-azabicyclo[2.2.1]heptane-2-carboxylate.",train,0,1
Ethoxycarbonyl ethyl carbonate and 4-[(4-fluorophenyl)methoxy]aniline react together in the presence of ethanol to produce ethyl n-[4-[(4-fluorophenyl)methoxy]phenyl]carbamate.,train,1,0
"Acetyl chloride and 2-fluoro-1-methoxy-4-phenylbenzene react together in the presence of chlorane, oxidane, methanethione, aluminum(3+), chloride to produce 1-[4-(3-fluoro-4-methoxyphenyl)phenyl]ethanone.",train,0,1
"4-[4-[(2-oxo-1-oxa-3-azaspiro[4.5]decan-3-yl)methyl]phenyl]benzaldehyde and (3r)-pyrrolidin-3-ol react together in the presence of triacetyloxyboranuide, chlorane, 1,2-dichloroethane, sodium(1+) to produce 3-[[4-[4-[(3-hydroxypyrrolidin-1-yl)methyl]phenyl]phenyl]methyl]-1-oxa-3-azaspiro[4.5]decan-2-one.",train,1,0
"Diethyl(pyridin-3-yl)borane and 2-bromo-8-methoxyquinoline react together in the presence of oxolane, tetrabutylazanium, iodide, potassium(1+), hydroxide, palladium, triphenylphosphane to produce 8-methoxy-2-pyridin-3-ylquinoline.",train,0,1
"N-[(4-chlorophenyl)methyl]-6-(hydroxymethyl)-1-methyl-4-oxoquinoline-3-carboxamide and 3,4-dihydro-2h-1,4-benzoxazine react together in the presence of n,n-dimethylformamide, n,n-dimethylpyridin-4-amine, methanol, methanesulfonyl chloride, 2,4,6-trimethylpyridine, dichloromethane, oxidane to produce n-[(4-chlorophenyl)methyl]-6-(2,3-dihydro-1,4-benzoxazin-4-ylmethyl)-1-methyl-4-oxoquinoline-3-carboxamide.",train,0,1
"N,n-dimethylpyrrolidin-3-amine and 5-chloro-n-[5-[2-(3,5-dimethoxyphenyl)ethyl]-1h-pyrazol-3-yl]pyrazine-2-carboxamide react together in the presence of methanol, methylsulfinylmethane to produce n-[5-[2-(3,5-dimethoxyphenyl)ethyl]-1h-pyrazol-3-yl]-5-[3-(dimethylamino)pyrrolidin-1-yl]pyrazine-2-carboxamide.",train,0,1
"4-amino-5-chloro-1-[(2r,3r,4s,5r)-5-(difluoromethyl)-3-hydroxy-4-phenylmethoxy-5-(phenylmethoxymethyl)oxolan-2-yl]pyrimidin-2-one reacts in the presence of methanol, trichloroborane, dichloromethane, pyridine to produce 4-amino-5-chloro-1-[(2r,3r,4s,5r)-5-(difluoromethyl)-3,4-dihydroxy-5-(hydroxymethyl)oxolan-2-yl]pyrimidin-2-one.",train,1,0
"6-phenylmethoxy-1-[3-[4-(trifluoromethoxy)phenoxy]propyl]-3,4-dihydro-2h-quinoline reacts in the presence of ethanol, palladium to produce 1-[3-[4-(trifluoromethoxy)phenoxy]propyl]-3,4-dihydro-2h-quinolin-6-ol.",train,0,1
"Butane-2-thiol and 2-nitro-4-(trifluoromethyl)benzonitrile react together in the presence of acetonitrile, oxidane, carbonate, potassium(1+) to produce 2-butan-2-ylsulfanyl-4-(trifluoromethyl)benzonitrile.",train,0,1
"(3-bromophenyl)methanamine and benzoyl chloride react together in the presence of oxolane, n,n-diethylethanamine to produce n-[(3-bromophenyl)methyl]benzamide.",train,0,1
"4-amino-2-methylsulfonyl-1,3-thiazole-5-carbonitrile and 2-aminoethanol react together in the presence of methylsulfinylmethane to produce 4-amino-2-(2-hydroxyethylamino)-1,3-thiazole-5-carbonitrile.",train,1,0
"Tert-butyl 4-(6-bromo-1,3-benzoxazol-2-yl)piperidine-1-carboxylate and 2-(2-fluoro-4-methylsulfonylphenyl)-4,4,5,5-tetramethyl-1,3,2-dioxaborolane react together to produce tert-butyl 4-[6-(2-fluoro-4-methylsulfonylphenyl)-1,3-benzoxazol-2-yl]piperidine-1-carboxylate.",train,1,0
"2-methylbuta-1,3-diene and 2-phenylpropanal react together to produce 4-methyl-2-(1-phenylethyl)-3,6-dihydro-2h-pyran.",train,1,0
"2-(4-methyl-1,3-thiazol-2-yl)but-3-yn-2-ol and 1-(2-aminopyrimidin-4-yl)-6-bromo-n-(2-methoxyethyl)benzimidazol-2-amine react together in the presence of n,n-diethylethanamine, methylsulfinylmethane, dichloropalladium;triphenylphosphanium to produce 4-[3-(2-aminopyrimidin-4-yl)-2-(2-methoxyethylamino)benzimidazol-5-yl]-2-(4-methyl-1,3-thiazol-2-yl)but-3-yn-2-ol.",train,1,0
"Tert-butyl (2-methylpropan-2-yl)oxycarbonyl carbonate and 2-[[4-[[4-(dipropylamino)butylamino]methyl]phenyl]methyl]isoindole-1,3-dione react together in the presence of chloroform to produce tert-butyl n-[[4-[(1,3-dioxoisoindol-2-yl)methyl]phenyl]methyl]-n-[4-(dipropylamino)butyl]carbamate.",train,0,1
"4h-indeno[1,2-d][1,3]thiazol-2-amine and benzoyl chloride react together in the presence of iodane, pyridine to produce n-(4h-indeno[1,2-d][1,3]thiazol-2-yl)benzamide.",train,1,0
"Methyl 3-(2-butan-2-yloxy-4-fluorophenyl)prop-2-enoate reacts in the presence of oxolane, methanol, lithium(1+), hydroxide to produce 3-(2-butan-2-yloxy-4-fluorophenyl)prop-2-enoic acid.",train,0,1
"2-(3,6-dihydro-2h-pyran-4-yl)-7-methoxyfuro[2,3-c]pyridine reacts in the presence of ethanol, nickel to produce 7-methoxy-2-(oxan-4-yl)furo[2,3-c]pyridine.",train,0,1
"2-bromo-4-fluoro-1-methylbenzene and 1-bromopyrrolidine-2,5-dione react together in the presence of tetrachloromethane to produce 2-bromo-1-(bromomethyl)-4-fluorobenzene.",train,0,1
"(2s)-3-methyl-2-[(2-trimethylsilylethoxycarbonylamino)methyl]butanoic acid and (4s)-4-(4-chlorophenyl)-3,3-dimethylpiperidin-4-ol react together in the presence of n-ethyl-n-propan-2-ylpropan-2-amine, 1,2-dichloroethane, dichloromethane, 1-hydroxybenzotriazole to produce 2-trimethylsilylethyl n-[(2s)-2-[(4s)-4-(4-chlorophenyl)-4-hydroxy-3,3-dimethylpiperidine-1-carbonyl]-3-methylbutyl]carbamate.",train,1,0
"2-[5-[(2-methylpropan-2-yl)oxycarbonylamino]-1,2,4-thiadiazol-3-yl]acetic acid and (6r,7r)-7-amino-3-(5-methyl-1,3,4-thiadiazol-2-yl)-8-oxo-5-thia-1-azabicyclo[4.2.0]oct-2-ene-2-carbothioic s-acid react together in the presence of oxolane, n-trimethylsilylacetamide, ethyl acetate, n,n-dimethylformamide, chlorane, oxidane, hydrogen carbonate, phosphoryl trichloride, sodium(1+) to produce (6r,7r)-7-[[2-[5-[(2-methylpropan-2-yl)oxycarbonylamino]-1,2,4-thiadiazol-3-yl]acetyl]amino]-3-(5-methyl-1,3,4-thiadiazol-2-yl)-8-oxo-5-thia-1-azabicyclo[4.2.0]oct-2-ene-2-carbothioic s-acid.",train,1,0
"4,6-dichloro-2-methylsulfanyl-n-[[(2s)-pyrrolidin-2-yl]methyl]pyrimidine-5-carboxamide reacts in the presence of 1,4-dioxane, chlorane, carbonate, potassium(1+) to produce (6s)-11-chloro-13-methylsulfanyl-2,8,12,14-tetrazatricyclo[8.4.0.02,6]tetradeca-1(10),11,13-trien-9-one.",train,1,0
"1-(chloromethylsulfanyl)-4-methylbenzene and fluoride react together in the presence of acetonitrile, cesium(1+) to produce 1-(fluoromethylsulfanyl)-4-methylbenzene.",train,1,0
"2,2-dimethyl-n-[2-methyl-5-[6-[(3,4,5-trimethoxyphenyl)methylamino]imidazo[1,2-b]pyridazin-2-yl]phenyl]propanamide reacts in the presence of 2,2,2-trifluoroacetic acid to produce n-[5-(6-aminoimidazo[1,2-b]pyridazin-2-yl)-2-methylphenyl]-2,2-dimethylpropanamide.",train,0,1
"5-bromopyridine-2-carbonitrile and 3-amino-4-fluorophenol react together in the presence of n,n-dimethylacetamide, 2-methylpropan-2-olate, potassium(1+) to produce 5-(3-amino-4-fluorophenoxy)pyridine-2-carbonitrile.",train,1,0
"1-methylpiperazine and 6,7-dibromo-5-nitro-2,3-dihydro-1,4-benzodioxine-8-carbonyl chloride react together in the presence of 3-methylpentan-2-one to produce (6,7-dibromo-5-nitro-2,3-dihydro-1,4-benzodioxin-8-yl)-(4-methylpiperazin-1-yl)methanone.",train,1,0
"3-methylbutyl nitrite and n-[(1's,11'r)-1'-ethyl-4'-methylspiro[1,3-dioxolane-2,13'-tricyclo[9.4.0.02,7]pentadeca-2(7),3,5-triene]-5'-yl]acetamide react together in the presence of 1,4,7,10,13,16-hexaoxacyclooctadecane, acetic acid, acetyl acetate, acetate, chloroform, oxidane, hydrogen carbonate, potassium(1+), sodium(1+) to produce 1-[(2's,7'r)-2'-ethylspiro[1,3-dioxolane-2,5'-14,15-diazatetracyclo[9.7.0.02,7.013,17]octadeca-1(11),12,15,17-tetraene]-14'-yl]ethanone.",train,1,0
"Ethyl 5-methyl-4-oxo-2,6-bis(trifluoromethyl)-1h-pyridine-3-carboxylate and phosphoryl trichloride react together in the presence of 2,6-dimethylpyridine to produce ethyl 4-chloro-5-methyl-2,6-bis(trifluoromethyl)pyridine-3-carboxylate.",train,1,0
"2-iodopropane and 4-(4-fluorophenyl)-n-[2-[methyl(pyrrolidin-3-ylmethyl)amino]-1,3-benzothiazol-6-yl]benzamide react together in the presence of ethyl acetate, n,n-dimethylformamide, carbonate, potassium(1+) to produce 4-(4-fluorophenyl)-n-[2-[methyl-[(1-propan-2-ylpyrrolidin-3-yl)methyl]amino]-1,3-benzothiazol-6-yl]benzamide.",train,0,1
"3-bromo-2-phenylfuran and tripropan-2-yl borate react together in the presence of oxolane, chlorane, lithium;butane to produce (2-phenylfuran-3-yl)boronic acid.",train,1,0
"N-(2-methylpropyl)-1-phenylmethanimine reacts in the presence of ethoxyethane, aluminum(3+), hydride, lithium(1+), sodium(1+), hydroxide to produce n-benzyl-2-methylpropan-1-amine.",train,0,1
"Tert-butyl piperazine-1-carboxylate and 4-chloro-6-methoxypyrimidine react together in the presence of n,n-diethylethanamine, n,n-dimethylformamide, oxidane to produce tert-butyl 4-(6-methoxypyrimidin-4-yl)piperazine-1-carboxylate.",train,1,0
2-methylpropan-2-amine and 8-bromo-7-fluoro-3-methyl-1h-quinoxalin-2-one react together in the presence of methylsulfinylmethane to produce 8-bromo-n-tert-butyl-7-fluoro-3-methylquinoxalin-2-amine.,train,0,1
"4-hydroxybenzonitrile and 4-[[4-fluoro-3-(4-hydroxypiperidine-1-carbonyl)phenyl]methyl]-2h-phthalazin-1-one react together in the presence of tert-butyl n-[(2-methylpropan-2-yl)oxycarbonylimino]carbamate, dichloromethane, triphenylphosphane to produce 4-[1-[2-fluoro-5-[(4-oxo-3h-phthalazin-1-yl)methyl]benzoyl]piperidin-4-yl]oxybenzonitrile.",train,1,0
Ethyl 2-amino-2-hydroxyiminoacetate and 4-nitrobenzoyl chloride react together in the presence of oxolane to produce [(1-amino-2-ethoxy-2-oxoethylidene)amino] 4-nitrobenzoate.,train,0,1
N-[(1s)-1-(7-bromo-1-phenylbenzimidazol-2-yl)ethyl]-9-(oxan-2-yl)purin-6-amine reacts in the presence of chlorane to produce n-[(1s)-1-(7-bromo-1-phenylbenzimidazol-2-yl)ethyl]-7h-purin-6-amine.,train,0,1
"2-[1-[(2-methylpropan-2-yl)oxycarbonyl]piperidin-4-ylidene]-2-phenylacetic acid and 1-hydroxybenzotriazole react together in the presence of 3-(ethyliminomethylideneamino)-n,n-dimethylpropan-1-amine, n,n-dimethylformamide, hydrazine, oxidane to produce tert-butyl 4-(2-hydrazinyl-2-oxo-1-phenylethylidene)piperidine-1-carboxylate.",train,0,1
"Ethanamine and 3-(1-ethylsulfonylpiperidin-4-yl)-5-[4-(2-oxoethyl)phenyl]-1h-indole-7-carboxamide react together in the presence of oxolane, acetic acid, triacetyloxyboranuide, methanol, dichloromethane, sodium(1+) to produce 5-[4-[2-(ethylamino)ethyl]phenyl]-3-(1-ethylsulfonylpiperidin-4-yl)-1h-indole-7-carboxamide.",train,1,0
"Methyl n-[(2s)-1-[[(2s,4s,5s)-5-[[(2s)-3,3-dimethyl-2-[3-[(4-nitrophenyl)methyl]-2-oxoimidazolidin-1-yl]butanoyl]amino]-4-hydroxy-6-phenyl-1-(4-pyridin-2-ylphenyl)hexan-2-yl]amino]-3,3-dimethyl-1-oxobutan-2-yl]carbamate reacts in the presence of ethanol, palladium to produce methyl n-[(2s)-1-[[(2s,4s,5s)-5-[[(2s)-2-[3-[(4-aminophenyl)methyl]-2-oxoimidazolidin-1-yl]-3,3-dimethylbutanoyl]amino]-4-hydroxy-6-phenyl-1-(4-pyridin-2-ylphenyl)hexan-2-yl]amino]-3,3-dimethyl-1-oxobutan-2-yl]carbamate.",train,1,0
"Ethyl 5-methyl-1-propan-2-ylpyrazole-4-carboxylate reacts in the presence of lithium(1+), hydroxide to produce 5-methyl-1-propan-2-ylpyrazole-4-carboxylic acid.",train,0,1
"1-benzylpiperidin-4-one and (3-bromopyridin-4-yl)methanol react together in the presence of oxolane, magnesium;propane;chloride to produce 1-benzyl-4-[4-(hydroxymethyl)pyridin-3-yl]piperidin-4-ol.",train,1,0
"4-(aminomethyl)-1-benzylpiperidin-4-ol and 2-chloroacetyl chloride react together in the presence of n,n-diethylethanamine, dichloromethane, oxidane to produce n-[(1-benzyl-4-hydroxypiperidin-4-yl)methyl]-2-chloroacetamide.",train,0,1
"Ethyl piperidine-4-carboxylate and 4-bromo-1-chloro-2-methoxybenzene react together in the presence of acetic acid, ditert-butyl-(2-phenylphenyl)phosphane, 2-methylpropan-2-olate, toluene, sodium(1+), palladium to produce ethyl 1-(4-chloro-3-methoxyphenyl)piperidine-4-carboxylate.",train,1,0
"Ethyl 2-(4-phenylsulfanylcarbonylpiperidin-1-yl)acetate and (4-methoxy-3-methylphenyl)boronic acid react together in the presence of ethyl acetate, 1,2-dimethoxyethane, (1e,4e)-1,5-diphenylpenta-1,4-dien-3-one, thiophene-2-carboxylate, copper(1+), palladium to produce ethyl 2-[4-(4-methoxy-3-methylbenzoyl)piperidin-1-yl]acetate.",train,1,0
"1-methyl-4-(4,4,5,5-tetramethyl-1,3,2-dioxaborolan-2-yl)pyrazole and 4-(3-bromopyridin-4-yl)oxy-5-chloro-2-fluoroaniline react together in the presence of butan-1-ol, dicyclohexyl-[2-(2,6-dimethoxyphenyl)phenyl]phosphane, (1e,4e)-1,5-diphenylpenta-1,4-dien-3-one, phosphate, potassium(1+), palladium to produce 5-chloro-2-fluoro-4-[3-(1-methylpyrazol-3-yl)pyridin-4-yl]oxyaniline.",train,1,0
2-amino-2-methylpropan-1-ol and 2-ethyloxirane react together in the presence of oxidane to produce 1-[(1-hydroxy-2-methylpropan-2-yl)amino]butan-2-ol.,train,0,1
"4-chloro-1-[1-[1-(4-fluorophenyl)-5-propan-2-ylpyrazol-4-yl]-2-oxopyrrolidin-3-yl]-5-methylpyrazole-3-carbonitrile and ethane-1,2-diamine react together in the presence of acetic acid, ethanol to produce 3-[4-chloro-3-(4,5-dihydro-1h-imidazol-2-yl)-5-methylpyrazol-1-yl]-1-[1-(4-fluorophenyl)-5-propan-2-ylpyrazol-4-yl]pyrrolidin-2-one.",train,0,1
"Methyl 1-benzyl-8-(5-fluoropyridin-3-yl)-5-hydroxy-2-oxo-3-phenyl-1,7-naphthyridine-6-carboxylate and 3-aminopropanoic acid react together in the presence of methanolate, hydrogen carbonate, sodium(1+) to produce 3-[[1-benzyl-8-(5-fluoropyridin-3-yl)-5-hydroxy-2-oxo-3-phenyl-1,7-naphthyridine-6-carbonyl]amino]propanoic acid.",train,1,0
"[2-[4-[3-[6-[(4-fluoro-3-methoxyphenyl)methylcarbamoyl]-2-methylpyrimidin-4-yl]-4,5-dihydro-1,2-oxazol-5-yl]piperidin-1-yl]-2-oxoethyl] acetate reacts in the presence of acetonitrile, sodium(1+), hydroxide to produce n-[(4-fluoro-3-methoxyphenyl)methyl]-6-[5-[1-(2-hydroxyacetyl)piperidin-4-yl]-4,5-dihydro-1,2-oxazol-3-yl]-2-methylpyrimidine-4-carboxamide.",train,1,0
"2-bromopropane and ethyl 6-bromo-1h-pyrazolo[3,4-b]pyridine-4-carboxylate react together in the presence of acetonitrile, carbonate, potassium(1+) to produce ethyl 6-bromo-1-propan-2-ylpyrazolo[3,4-b]pyridine-4-carboxylate.",train,1,0
"4-methylbenzenesulfonyl chloride and [(2s)-oxolan-2-yl]methanol react together in the presence of n,n-diethylethanamine, dichloromethane to produce [(2s)-oxolan-2-yl]methyl 4-methylbenzenesulfonate.",train,1,0
"2,6-dichloropyridine-3-carboxamide and benzyl 4-(4-aminophenyl)piperazine-1-carboxylate react together in the presence of oxolane, bis(trimethylsilyl)azanide, lithium(1+) to produce benzyl 4-[4-[(3-carbamoyl-6-chloropyridin-2-yl)amino]phenyl]piperazine-1-carboxylate.",train,0,1
"6-[chloro(diethoxyphosphoryl)methyl]-1,1,4,4-tetramethyl-2,3-dihydronaphthalene and 4-formylbenzonitrile react together in the presence of methylsulfinylmethane, chlorane to produce 4-[2-(5,5,8,8-tetramethyl-6,7-dihydronaphthalen-2-yl)ethynyl]benzonitrile.",train,1,0
"5-bromo-2-(bromomethyl)-4-(4-methoxyphenyl)-1,3-thiazole and 2,6-difluoro-3-hydroxybenzamide react together in the presence of n,n-dimethylformamide, carbonate, potassium(1+) to produce 3-[[5-bromo-4-(4-methoxyphenyl)-1,3-thiazol-2-yl]methoxy]-2,6-difluorobenzamide.",train,1,0
"2-chloroacetic acid and 2-(2-hydroxyethoxy)ethanol react together in the presence of 4-methylbenzenesulfonic acid, toluene to produce 2-[2-(2-chloroacetyl)oxyethoxy]ethyl 2-chloroacetate.",train,0,1
"Methyl 2-[4-chloro-2-[[4-(cyclohexylmethylamino)phenyl]methyl]-6-[[2-(cyclopentylamino)-2-oxoethyl]-methylamino]pyrimidin-5-yl]acetate reacts in the presence of oxolane, chlorane, sodium(1+), hydroxide to produce 2-[4-chloro-2-[[4-(cyclohexylmethylamino)phenyl]methyl]-6-[[2-(cyclopentylamino)-2-oxoethyl]-methylamino]pyrimidin-5-yl]acetic acid.",train,1,0
"Benzyl n-[(5s)-7-amino-5-hydroxy-7-oxoheptyl]carbamate reacts in the presence of methane, acetic acid, methanol, palladium to produce (3s)-7-amino-3-hydroxyheptanamide.",train,0,1
"Phenylhydrazine and 2,4-difluorobenzoyl chloride react together in the presence of chlorane, oxidane, pyridine to produce 2,4-difluoro-n'-phenylbenzohydrazide.",train,0,1
"1-[5-[(4-nitrophenoxy)-phenylphosphoryl]oxyindazol-1-yl]ethanone reacts in the presence of 2,3,4,6,7,8,9,10-octahydropyrimido[1,2-a]azepine, ethanol, methanol, dichloromethane to produce 5-[methoxy(phenyl)phosphoryl]oxy-1h-indazole.",train,1,0
"4-methyl-1,3-thiazol-2-amine and 2-chloro-4-phenylsulfanylpyridine react together in the presence of (5-diphenylphosphanyl-9,9-dimethylxanthen-4-yl)-diphenylphosphane, toluene, oxidane, (1e,4e)-1,5-diphenylpenta-1,4-dien-3-one, phosphate, potassium(1+), palladium to produce 4-methyl-n-(4-phenylsulfanylpyridin-2-yl)-1,3-thiazol-2-amine.",train,0,1
